"","gene","freq","type","pam"
"188","ACOT7",4,"RNA","Original"
"189","ACOT8",4,"RNA","Original"
"190","ACOT9",4,"RNA","Original"
"191","ACOX1",4,"RNA","Original"
"192","ACOX2",4,"RNA","Original"
"193","ACOX3",4,"RNA","Original"
"194","ACOXL",4,"RNA","Original"
"195","ACP1",4,"RNA","Original"
"196","ACP2",4,"RNA","Original"
"197","ACP5",4,"RNA","Original"
"198","ACP6",4,"RNA","Original"
"199","ACPP",4,"RNA","Original"
"200","ACPT",4,"RNA","Original"
"201","ACR",4,"RNA","Original"
"202","ACRBP",4,"RNA","Original"
"203","ACRC",4,"RNA","Original"
"204","ACRV1",4,"RNA","Original"
"205","ACSBG1",4,"RNA","Original"
"206","ACSBG2",4,"RNA","Original"
"207","ACSF2",4,"RNA","Original"
"208","ACSF3",4,"RNA","Original"
"209","ACSL1",4,"RNA","Original"
"210","ACSL3",4,"RNA","Original"
"211","ACSL4",4,"RNA","Original"
"212","ACSL5",4,"RNA","Original"
"213","ACSL6",4,"RNA","Original"
"214","ACSM1",4,"RNA","Original"
"215","ACSM2A",4,"RNA","Original"
"216","ACSM2B",4,"RNA","Original"
"217","ACSM3",4,"RNA","Original"
"218","ACSM4",4,"RNA","Original"
"219","ACSM5",4,"RNA","Original"
"220","ACSM6",4,"RNA","Original"
"221","ACSS1",4,"RNA","Original"
"222","ACSS2",4,"RNA","Original"
"223","ACSS3",4,"RNA","Original"
"224","ACTA1",4,"RNA","Original"
"225","ACTA2",4,"RNA","Original"
"226","ACTB",4,"RNA","Original"
"227","ACTBL2",4,"RNA","Original"
"228","ACTC1",4,"RNA","Original"
"229","ACTG1",4,"RNA","Original"
"230","ACTG2",4,"RNA","Original"
"231","ACTL10",4,"RNA","Original"
"232","ACTL6A",4,"RNA","Original"
"233","ACTL6B",4,"RNA","Original"
"234","ACTL7A",4,"RNA","Original"
"235","ACTL7B",4,"RNA","Original"
"236","ACTL8",4,"RNA","Original"
"237","ACTL9",4,"RNA","Original"
"238","ACTN1",4,"RNA","Original"
"239","ACTN2",4,"RNA","Original"
"240","ACTN3",4,"RNA","Original"
"241","ACTN4",4,"RNA","Original"
"242","ACTR10",4,"RNA","Original"
"243","ACTR1A",4,"RNA","Original"
"244","ACTR1B",4,"RNA","Original"
"245","ACTR2",4,"RNA","Original"
"246","ACTR3",4,"RNA","Original"
"247","ACTR3B",4,"RNA","Original"
"248","ACTR3C",4,"RNA","Original"
"249","ACTR5",4,"RNA","Original"
"250","ACTR6",4,"RNA","Original"
"251","ACTR8",4,"RNA","Original"
"252","ACTRT1",4,"RNA","Original"
"253","ACTRT2",4,"RNA","Original"
"254","ACTRT3",4,"RNA","Original"
"255","ACVR1",4,"RNA","Original"
"256","ACVR1B",4,"RNA","Original"
"257","ACVR1C",4,"RNA","Original"
"258","ACVR2A",4,"RNA","Original"
"259","ACVR2B",4,"RNA","Original"
"260","ACVRL1",4,"RNA","Original"
"261","ACY1",4,"RNA","Original"
"262","ACY3",4,"RNA","Original"
"263","ACYP1",4,"RNA","Original"
"264","ACYP2",4,"RNA","Original"
"265","ADA",4,"RNA","Original"
"266","ADAD1",4,"RNA","Original"
"267","ADAD2",4,"RNA","Original"
"268","ADAL",4,"RNA","Original"
"269","ADAM10",4,"RNA","Original"
"270","ADAM11",4,"RNA","Original"
"271","ADAM12",4,"RNA","Original"
"272","ADAM15",4,"RNA","Original"
"273","ADAM17",4,"RNA","Original"
"274","ADAM18",4,"RNA","Original"
"275","ADAM19",4,"RNA","Original"
"276","ADAM2",4,"RNA","Original"
"277","ADAM20",4,"RNA","Original"
"278","ADAM21",4,"RNA","Original"
"279","ADAM22",4,"RNA","Original"
"280","ADAM23",4,"RNA","Original"
"281","ADAM28",4,"RNA","Original"
"282","ADAM29",4,"RNA","Original"
"283","ADAM30",4,"RNA","Original"
"284","ADAM32",4,"RNA","Original"
"285","ADAM33",4,"RNA","Original"
"286","ADAM7",4,"RNA","Original"
"287","ADAM8",4,"RNA","Original"
"288","ADAM9",4,"RNA","Original"
"289","ADAMDEC1",4,"RNA","Original"
"290","ADAMTS1",4,"RNA","Original"
"291","ADAMTS10",4,"RNA","Original"
"292","ADAMTS12",4,"RNA","Original"
"293","ADAMTS13",4,"RNA","Original"
"294","ADAMTS14",4,"RNA","Original"
"295","ADAMTS15",4,"RNA","Original"
"296","ADAMTS16",4,"RNA","Original"
"297","ADAMTS17",4,"RNA","Original"
"298","ADAMTS18",4,"RNA","Original"
"299","ADAMTS19",4,"RNA","Original"
"300","ADAMTS2",4,"RNA","Original"
"301","ADAMTS20",4,"RNA","Original"
"302","ADAMTS3",4,"RNA","Original"
"303","ADAMTS4",4,"RNA","Original"
"304","ADAMTS5",4,"RNA","Original"
"305","ADAMTS6",4,"RNA","Original"
"306","ADAMTS7",4,"RNA","Original"
"307","ADAMTS8",4,"RNA","Original"
"308","ADAMTS9",4,"RNA","Original"
"309","ADAMTSL1",4,"RNA","Original"
"310","ADAMTSL2",4,"RNA","Original"
"311","ADAMTSL3",4,"RNA","Original"
"312","ADAMTSL4",4,"RNA","Original"
"313","ADAMTSL5",4,"RNA","Original"
"314","ADAP1",4,"RNA","Original"
"315","ADAP2",4,"RNA","Original"
"316","ADAR",4,"RNA","Original"
"317","ADARB1",4,"RNA","Original"
"318","ADARB2",4,"RNA","Original"
"319","ADAT1",4,"RNA","Original"
"320","ADAT2",4,"RNA","Original"
"321","ADAT3",4,"RNA","Original"
"322","ADCK1",4,"RNA","Original"
"323","ADCK2",4,"RNA","Original"
"324","ADCK3",4,"RNA","Original"
"325","ADCK4",4,"RNA","Original"
"326","ADCK5",4,"RNA","Original"
"327","ADCY1",4,"RNA","Original"
"328","ADCY10",4,"RNA","Original"
"329","ADCY2",4,"RNA","Original"
"330","ADCY3",4,"RNA","Original"
"331","ADCY4",4,"RNA","Original"
"332","ADCY5",4,"RNA","Original"
"333","ADCY6",4,"RNA","Original"
"334","ADCY7",4,"RNA","Original"
"335","ADCY8",4,"RNA","Original"
"336","ADCY9",4,"RNA","Original"
"337","ADCYAP1",4,"RNA","Original"
"338","ADCYAP1R1",4,"RNA","Original"
"339","ADD1",4,"RNA","Original"
"340","ADD2",4,"RNA","Original"
"341","ADD3",4,"RNA","Original"
"342","ADGB",4,"RNA","Original"
"343","ADGRA1",4,"RNA","Original"
"344","ADGRA2",4,"RNA","Original"
"345","ADGRA3",4,"RNA","Original"
"346","ADGRB1",4,"RNA","Original"
"347","ADGRB2",4,"RNA","Original"
"348","ADGRB3",4,"RNA","Original"
"349","ADGRD1",4,"RNA","Original"
"350","ADGRE1",4,"RNA","Original"
"351","ADGRE2",4,"RNA","Original"
"352","ADGRE3",4,"RNA","Original"
"353","ADGRE5",4,"RNA","Original"
"354","ADGRF1",4,"RNA","Original"
"355","ADGRF2",4,"RNA","Original"
"356","ADGRF3",4,"RNA","Original"
"357","ADGRF4",4,"RNA","Original"
"358","ADGRF5",4,"RNA","Original"
"359","ADGRG1",4,"RNA","Original"
"360","ADGRG2",4,"RNA","Original"
"361","ADGRG3",4,"RNA","Original"
"362","ADGRG4",4,"RNA","Original"
"363","ADGRG5",4,"RNA","Original"
"364","ADGRG6",4,"RNA","Original"
"365","ADGRG7",4,"RNA","Original"
"366","ADGRL1",4,"RNA","Original"
"367","ADGRL2",4,"RNA","Original"
"368","ADGRL3",4,"RNA","Original"
"369","ADGRL4",4,"RNA","Original"
"370","ADGRV1",4,"RNA","Original"
"371","ADH1A",4,"RNA","Original"
"372","ADH1B",4,"RNA","Original"
"373","ADH1C",4,"RNA","Original"
"374","ADH4",4,"RNA","Original"
"375","ADH5",4,"RNA","Original"
"376","ADH6",4,"RNA","Original"
"377","ADH7",4,"RNA","Original"
"378","ADHFE1",4,"RNA","Original"
"379","ADI1",4,"RNA","Original"
"380","ADIG",4,"RNA","Original"
"381","ADIPOQ",4,"RNA","Original"
"382","ADIPOR1",4,"RNA","Original"
"383","ADIPOR2",4,"RNA","Original"
"384","ADIRF",4,"RNA","Original"
"385","ADK",4,"RNA","Original"
"386","ADM",4,"RNA","Original"
"387","ADM2",4,"RNA","Original"
"388","ADM5",4,"RNA","Original"
"389","ADNP",4,"RNA","Original"
"390","ADNP2",4,"RNA","Original"
"391","ADO",4,"RNA","Original"
"392","ADORA1",4,"RNA","Original"
"393","ADORA2A",4,"RNA","Original"
"394","ADORA2B",4,"RNA","Original"
"395","ADORA3",4,"RNA","Original"
"396","ADPGK",4,"RNA","Original"
"397","ADPRH",4,"RNA","Original"
"398","ADPRHL1",4,"RNA","Original"
"399","ADPRHL2",4,"RNA","Original"
"400","ADPRM",4,"RNA","Original"
"401","ADRA1A",4,"RNA","Original"
"402","ADRA1B",4,"RNA","Original"
"403","ADRA1D",4,"RNA","Original"
"404","ADRA2A",4,"RNA","Original"
"405","ADRA2B",4,"RNA","Original"
"406","ADRA2C",4,"RNA","Original"
"407","ADRB1",4,"RNA","Original"
"408","ADRB2",4,"RNA","Original"
"409","ADRB3",4,"RNA","Original"
"410","ADRBK1",4,"RNA","Original"
"411","ADRBK2",4,"RNA","Original"
"412","ADRM1",4,"RNA","Original"
"413","ADSL",4,"RNA","Original"
"414","ADSS",4,"RNA","Original"
"415","ADSSL1",4,"RNA","Original"
"416","ADTRP",4,"RNA","Original"
"417","AEBP1",4,"RNA","Original"
"418","AEBP2",4,"RNA","Original"
"419","AEN",4,"RNA","Original"
"420","AES",4,"RNA","Original"
"421","AFAP1",4,"RNA","Original"
"422","AFAP1L1",4,"RNA","Original"
"423","AFAP1L2",4,"RNA","Original"
"424","AFF1",4,"RNA","Original"
"425","AFF2",4,"RNA","Original"
"426","AFF3",4,"RNA","Original"
"427","AFF4",4,"RNA","Original"
"428","AFG3L2",4,"RNA","Original"
"429","AFM",4,"RNA","Original"
"430","AFMID",4,"RNA","Original"
"431","AFP",4,"RNA","Original"
"432","AFTPH",4,"RNA","Original"
"433","AGA",4,"RNA","Original"
"434","AGAP1",4,"RNA","Original"
"435","AGAP11",4,"RNA","Original"
"436","AGAP2",4,"RNA","Original"
"437","AGAP3",4,"RNA","Original"
"438","AGAP4",4,"RNA","Original"
"439","AGAP5",4,"RNA","Original"
"440","AGAP6",4,"RNA","Original"
"441","AGAP9",4,"RNA","Original"
"442","AGBL1",4,"RNA","Original"
"443","AGBL2",4,"RNA","Original"
"444","AGBL3",4,"RNA","Original"
"445","AGBL4",4,"RNA","Original"
"446","AGBL5",4,"RNA","Original"
"447","AGER",4,"RNA","Original"
"448","AGFG1",4,"RNA","Original"
"449","AGFG2",4,"RNA","Original"
"450","AGGF1",4,"RNA","Original"
"451","AGK",4,"RNA","Original"
"452","AGL",4,"RNA","Original"
"453","AGMAT",4,"RNA","Original"
"454","AGMO",4,"RNA","Original"
"455","AGO1",4,"RNA","Original"
"456","AGO2",4,"RNA","Original"
"457","AGO3",4,"RNA","Original"
"458","AGO4",4,"RNA","Original"
"459","AGPAT1",4,"RNA","Original"
"460","AGPAT2",4,"RNA","Original"
"461","AGPAT3",4,"RNA","Original"
"462","AGPAT4",4,"RNA","Original"
"463","AGPAT5",4,"RNA","Original"
"464","AGPAT6",4,"RNA","Original"
"465","AGPAT9",4,"RNA","Original"
"466","AGPS",4,"RNA","Original"
"467","AGR2",4,"RNA","Original"
"468","AGR3",4,"RNA","Original"
"469","AGRN",4,"RNA","Original"
"470","AGRP",4,"RNA","Original"
"471","AGT",4,"RNA","Original"
"472","AGTPBP1",4,"RNA","Original"
"473","AGTR1",4,"RNA","Original"
"474","AGTR2",4,"RNA","Original"
"475","AGTRAP",4,"RNA","Original"
"476","AGXT",4,"RNA","Original"
"477","AGXT2",4,"RNA","Original"
"478","AHCTF1",4,"RNA","Original"
"479","AHCY",4,"RNA","Original"
"480","AHCYL1",4,"RNA","Original"
"481","AHCYL2",4,"RNA","Original"
"482","AHDC1",4,"RNA","Original"
"483","AHI1",4,"RNA","Original"
"484","AHNAK",4,"RNA","Original"
"485","AHNAK2",4,"RNA","Original"
"486","AHR",4,"RNA","Original"
"487","AHRR",4,"RNA","Original"
"488","AHSA1",4,"RNA","Original"
"489","AHSA2",4,"RNA","Original"
"490","AHSG",4,"RNA","Original"
"491","AHSP",4,"RNA","Original"
"492","AICDA",4,"RNA","Original"
"493","AIDA",4,"RNA","Original"
"494","AIF1",4,"RNA","Original"
"495","AIF1L",4,"RNA","Original"
"496","AIFM1",4,"RNA","Original"
"497","AIFM2",4,"RNA","Original"
"498","AIFM3",4,"RNA","Original"
"499","AIG1",4,"RNA","Original"
"500","AIM1",4,"RNA","Original"
"501","AIM1L",4,"RNA","Original"
"502","AIM2",4,"RNA","Original"
"503","AIMP1",4,"RNA","Original"
"504","AIMP2",4,"RNA","Original"
"505","AIP",4,"RNA","Original"
"506","AIPL1",4,"RNA","Original"
"507","AIRE",4,"RNA","Original"
"508","AJAP1",4,"RNA","Original"
"509","AJUBA",4,"RNA","Original"
"510","AK1",4,"RNA","Original"
"511","AK2",4,"RNA","Original"
"512","AK3",4,"RNA","Original"
"513","AK4",4,"RNA","Original"
"514","AK5",4,"RNA","Original"
"515","AK6",4,"RNA","Original"
"516","AK7",4,"RNA","Original"
"517","AK8",4,"RNA","Original"
"518","AK9",4,"RNA","Original"
"519","AKAP1",4,"RNA","Original"
"520","AKAP10",4,"RNA","Original"
"521","AKAP11",4,"RNA","Original"
"522","AKAP12",4,"RNA","Original"
"523","AKAP13",4,"RNA","Original"
"524","AKAP14",4,"RNA","Original"
"525","AKAP17A",4,"RNA","Original"
"526","AKAP2",4,"RNA","Original"
"527","AKAP3",4,"RNA","Original"
"528","AKAP4",4,"RNA","Original"
"529","AKAP5",4,"RNA","Original"
"530","AKAP6",4,"RNA","Original"
"531","AKAP7",4,"RNA","Original"
"532","AKAP8",4,"RNA","Original"
"533","AKAP8L",4,"RNA","Original"
"534","AKAP9",4,"RNA","Original"
"535","AKIP1",4,"RNA","Original"
"536","AKIRIN1",4,"RNA","Original"
"537","AKIRIN2",4,"RNA","Original"
"538","AKNA",4,"RNA","Original"
"539","AKNAD1",4,"RNA","Original"
"540","AKR1A1",4,"RNA","Original"
"541","AKR1B1",4,"RNA","Original"
"542","AKR1B10",4,"RNA","Original"
"543","AKR1B15",4,"RNA","Original"
"544","AKR1C1",4,"RNA","Original"
"545","AKR1C2",4,"RNA","Original"
"546","AKR1C3",4,"RNA","Original"
"547","AKR1C4",4,"RNA","Original"
"548","AKR1D1",4,"RNA","Original"
"549","AKR1E2",4,"RNA","Original"
"550","AKR7A2",4,"RNA","Original"
"551","AKR7A3",4,"RNA","Original"
"552","AKT1",4,"RNA","Original"
"553","AKT1S1",4,"RNA","Original"
"554","AKT2",4,"RNA","Original"
"555","AKT3",4,"RNA","Original"
"556","AKTIP",4,"RNA","Original"
"557","ALAD",4,"RNA","Original"
"558","ALAS1",4,"RNA","Original"
"559","ALAS2",4,"RNA","Original"
"560","ALB",4,"RNA","Original"
"561","ALCAM",4,"RNA","Original"
"562","ALDH16A1",4,"RNA","Original"
"563","ALDH18A1",4,"RNA","Original"
"564","ALDH1A1",4,"RNA","Original"
"565","ALDH1A2",4,"RNA","Original"
"566","ALDH1A3",4,"RNA","Original"
"567","ALDH1B1",4,"RNA","Original"
"568","ALDH1L1",4,"RNA","Original"
"569","ALDH1L2",4,"RNA","Original"
"570","ALDH2",4,"RNA","Original"
"571","ALDH3A1",4,"RNA","Original"
"572","ALDH3A2",4,"RNA","Original"
"573","ALDH3B1",4,"RNA","Original"
"574","ALDH3B2",4,"RNA","Original"
"575","ALDH4A1",4,"RNA","Original"
"576","ALDH5A1",4,"RNA","Original"
"577","ALDH6A1",4,"RNA","Original"
"578","ALDH7A1",4,"RNA","Original"
"579","ALDH8A1",4,"RNA","Original"
"580","ALDH9A1",4,"RNA","Original"
"581","ALDOA",4,"RNA","Original"
"582","ALDOB",4,"RNA","Original"
"583","ALDOC",4,"RNA","Original"
"584","ALG1",4,"RNA","Original"
"585","ALG10",4,"RNA","Original"
"586","ALG10B",4,"RNA","Original"
"587","ALG11",4,"RNA","Original"
"588","ALG12",4,"RNA","Original"
"589","ALG13",4,"RNA","Original"
"590","ALG14",4,"RNA","Original"
"591","ALG1L",4,"RNA","Original"
"592","ALG1L2",4,"RNA","Original"
"593","ALG2",4,"RNA","Original"
"594","ALG3",4,"RNA","Original"
"595","ALG5",4,"RNA","Original"
"596","ALG6",4,"RNA","Original"
"597","ALG8",4,"RNA","Original"
"598","ALG9",4,"RNA","Original"
"599","ALK",4,"RNA","Original"
"600","ALKBH1",4,"RNA","Original"
"601","ALKBH2",4,"RNA","Original"
"602","ALKBH3",4,"RNA","Original"
"603","ALKBH4",4,"RNA","Original"
"604","ALKBH5",4,"RNA","Original"
"605","ALKBH6",4,"RNA","Original"
"606","ALKBH7",4,"RNA","Original"
"607","ALKBH8",4,"RNA","Original"
"608","ALLC",4,"RNA","Original"
"609","ALMS1",4,"RNA","Original"
"610","ALOX12",4,"RNA","Original"
"611","ALOX12B",4,"RNA","Original"
"612","ALOX15",4,"RNA","Original"
"613","ALOX15B",4,"RNA","Original"
"614","ALOX5",4,"RNA","Original"
"615","ALOX5AP",4,"RNA","Original"
"616","ALOXE3",4,"RNA","Original"
"617","ALPI",4,"RNA","Original"
"618","ALPK1",4,"RNA","Original"
"619","ALPK2",4,"RNA","Original"
"620","ALPK3",4,"RNA","Original"
"621","ALPL",4,"RNA","Original"
"622","ALPP",4,"RNA","Original"
"623","ALPPL2",4,"RNA","Original"
"624","ALS2",4,"RNA","Original"
"625","ALS2CL",4,"RNA","Original"
"626","ALS2CR11",4,"RNA","Original"
"627","ALS2CR12",4,"RNA","Original"
"628","ALX1",4,"RNA","Original"
"629","ALX3",4,"RNA","Original"
"630","ALX4",4,"RNA","Original"
"631","ALYREF",4,"RNA","Original"
"632","AMACR",4,"RNA","Original"
"633","AMBN",4,"RNA","Original"
"634","AMBP",4,"RNA","Original"
"635","AMBRA1",4,"RNA","Original"
"636","AMD1",4,"RNA","Original"
"637","AMDHD1",4,"RNA","Original"
"638","AMDHD2",4,"RNA","Original"
"639","AMELX",4,"RNA","Original"
"640","AMELY",4,"RNA","Original"
"641","AMER1",4,"RNA","Original"
"642","AMER2",4,"RNA","Original"
"643","AMER3",4,"RNA","Original"
"644","AMFR",4,"RNA","Original"
"645","AMH",4,"RNA","Original"
"646","AMHR2",4,"RNA","Original"
"647","AMICA1",4,"RNA","Original"
"648","AMIGO1",4,"RNA","Original"
"649","AMIGO2",4,"RNA","Original"
"650","AMIGO3",4,"RNA","Original"
"651","AMMECR1",4,"RNA","Original"
"652","AMMECR1L",4,"RNA","Original"
"653","AMN",4,"RNA","Original"
"654","AMN1",4,"RNA","Original"
"655","AMOT",4,"RNA","Original"
"656","AMOTL1",4,"RNA","Original"
"657","AMOTL2",4,"RNA","Original"
"658","AMPD1",4,"RNA","Original"
"659","AMPD2",4,"RNA","Original"
"660","AMPD3",4,"RNA","Original"
"661","AMPH",4,"RNA","Original"
"662","AMT",4,"RNA","Original"
"663","AMTN",4,"RNA","Original"
"664","AMY1A",4,"RNA","Original"
"665","AMY1B",4,"RNA","Original"
"666","AMY1C",4,"RNA","Original"
"667","AMY2A",4,"RNA","Original"
"668","AMY2B",4,"RNA","Original"
"669","AMZ1",4,"RNA","Original"
"670","AMZ2",4,"RNA","Original"
"671","ANAPC1",4,"RNA","Original"
"672","ANAPC10",4,"RNA","Original"
"673","ANAPC11",4,"RNA","Original"
"674","ANAPC13",4,"RNA","Original"
"675","ANAPC15",4,"RNA","Original"
"676","ANAPC16",4,"RNA","Original"
"677","ANAPC2",4,"RNA","Original"
"678","ANAPC4",4,"RNA","Original"
"679","ANAPC5",4,"RNA","Original"
"680","ANAPC7",4,"RNA","Original"
"681","ANG",4,"RNA","Original"
"682","ANGEL1",4,"RNA","Original"
"683","ANGEL2",4,"RNA","Original"
"684","ANGPT1",4,"RNA","Original"
"685","ANGPT2",4,"RNA","Original"
"686","ANGPT4",4,"RNA","Original"
"687","ANGPTL1",4,"RNA","Original"
"688","ANGPTL2",4,"RNA","Original"
"689","ANGPTL3",4,"RNA","Original"
"690","ANGPTL4",4,"RNA","Original"
"691","ANGPTL5",4,"RNA","Original"
"692","ANGPTL6",4,"RNA","Original"
"693","ANGPTL7",4,"RNA","Original"
"694","ANHX",4,"RNA","Original"
"695","ANK1",4,"RNA","Original"
